organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
АО РЭПХ;7806151791;;АО РЭПХ;7806151791;Открытый запрос предложений в электронной форме на право заключить договор на поставку, проектирование и изготовление глушителя сброса воздуха с клапанов СНОРТ и ППЗ турбокомпрессорного агрегата ТКА-5500/19 (компрессор К-5500-42-1 с паровой турбиной К-19-35-2);0.0;2016-06-10;Санкт-Петербург;completed;Запрос предложений;Закупки.Бизнес;ГП606484;https://etpgpb.ru/procedures/etp/59912-otkrytyy-zapros-predlozheniy-v-elektronnoy-forme-na-pravo-zaklyuchit-dogovor-na-postavku-proektirovanie-i-izgotovlenie-glushitelya-sbrosa-vozduha-s-klapanov-snort-i-ppz-turbokompressornogo-agregata-tka-5500-19-kompressor-k-5500-42-1-s-parovoy-turbinoy-k-19-35-2/;компрессор+турбокомпрессор;да;турбокомпрессор;
АО РЭПХ;7806151791;;АО РЭПХ;7806151791;Открытый запрос предложений в электронной форме на право заключить договор на поставку, проектирование и изготовление Шумоглушителя сброса воздуха с клапанов СНОРТ и ППЗ турбокомпрессорного агрегата ТКА-5500/19 (компрессор К-5500-42-1 с паровой турбиной К-19-35-2);;2017-01-10;Санкт-Петербург;completed;Запрос предложений;Закупки.Бизнес;ГП701083;https://etpgpb.ru/procedures/etp/82898-otkrytyy-zapros-predlozheniy-v-elektronnoy-forme-na-pravo-zaklyuchit-dogovor-na-postavku-proektirovanie-i-izgotovlenie-shumoglushitelya-sbrosa-vozduha-s-klapanov-snort-i-ppz-turbokompressornogo-agregata-tka-5500-19-kompressor-k-5500-42-1-s-parovoy-turbinoy-k-19-35-2/;компрессор+турбокомпрессор;да;турбокомпрессор;
АО РЭПХ;7806151791;;АО РЭПХ;7806151791;Открытый запрос предложений в электронной форме проведение вибрационного обследования турбокомпрессорного агрегата К-2001;;2019-08-23;Санкт-Петербург;completed;Запрос предложений;Закупки.Бизнес;ГП932906;https://etpgpb.ru/procedures/etp/263811-otkrytyy-zapros-predlozheniy-v-elektronnoy-forme-provedenie-vibratsionnogo-obsledovaniya-turbokompressornogo-agregata-k-2001/;турбокомпрессор;да;турбокомпрессор;
ПАО ГАЗПРОМ;7736050003;;«Газпром инвест»;7810483334;"73618_Поставка агрегатов газоперекачивающих, турбокомпрессорных  для объекта строительства ""Обустройство Чаяндинского НГКМ"" для нужд ООО ""Газпром инвест""";3279618888.96;2020-11-05;Санкт-Петербург;completed;Конкурентный отбор;Закупки ГК «Газпром»;32009650962;https://etpgpb.ru/procedures/gaz/159304-73618-postavka-agregatov-gazoperekachivayuschih-turbokompressornyh-dlya-obekta-stroitelstva-obustroystvo-chayandinskogo-ngkm-dlya-nuzhd-ooo-gazprom-invest/;компрессор+компрессорная+турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;Выполнение РЕМОНТА СОЦИАЛЬНО-БЫТОВЫХ ПОМЕЩЕНИЙ ПАРОСИЛОВОГО И ТУРБОКОМПРЕССОРНОГО ОТДЕЛЕНИЯ согласно ТЗ для нужд ЧФ ООО «МЕЧЕЛ-ЭНЕРГО»;4378373.23;2023-03-22;Челябинская область;completed;Запрос предложений в электронной форме для СМСП;Закупки.Бизнес223;32312213796;https://etpgpb.ru/procedures/etp/761314-vypolnenie-remonta-sotsialno-bytovyh-pomescheniy-parosilovogo-i-turbokompressornogo-otdeleniya-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"ЧФ ООО ""Мечел-Энерго""";7722245108;;"ЧФ ООО ""Мечел-Энерго""";7722245108;Выполнение ТЕКУЩЕГО РЕМОНТА ЦИРКУЛЯЦИОННЫХ НАСОСОВ № 12 И № 2 ТУРБОКОМПРЕССОРНОГО ОТДЕЛЕНИЯ согласно ТЗ для нужд ЧФ ООО «МЕЧЕЛ-ЭНЕРГО»;736582.8;2023-02-27;Челябинская область;completed;Попозиционная;Закупки.Бизнес223;32312146152;https://etpgpb.ru/procedures/etp/749557-vypolnenie-tekuschego-remonta-tsirkulyatsionnyh-nasosov-12-i-2-turbokompressornogo-otdeleniya-soglasno-tz-dlya-nuzhd-chf-ooo-mechel-energo/;турбокомпрессор;да;турбокомпрессор;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Редуктор Р 700/2,6 привода нагнетателя 9704.000.000.СП-03 для нагнетателя Н360-22-3;0.0;2021-10-13;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП122815;https://etpgpb.ru/procedures/etp/547843-reduktor-r-700-26-privoda-nagnetatelya-9704-000-000-sp-03-dlya-nagnetatelya-n360-22-3/;нагнетатель;да;нагнетатель;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;25/15.01.20/ППЖТ/КО/Э Поставка нагнетателей масла;48802.88;2020-01-15;Республика Башкортостан;completed;Запрос предложений;Закупки.Бизнес;ГП001970;https://etpgpb.ru/procedures/etp/308274-25-15-01-20-ppzht-ko-e-postavka-nagnetateley-masla/;нагнетатель;да;нагнетатель;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;Нагнетатели смазок;0.0;2025-09-19;Республика Башкортостан;completed;Предварительный отбор;Закупки.Бизнес;ГП533789;https://etpgpb.ru/procedures/etp/1166975-nagnetateli-smazok/;нагнетатель;да;нагнетатель;
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;НАГНЕТАТЕЛЬ ПЛАСТИЧНОЙ СМАЗКИ;;2020-06-07;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП006628;https://etpgpb.ru/procedures/etp/352201-nagnetatel-plastichnoy-smazki/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Нагнетатель смазки согласно 23.00392ИТТ;0.0;2021-01-19;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП113906;https://etpgpb.ru/procedures/etp/437336-nagnetatel-smazki-soglasno-23-00392itt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Нагнетатель смазки по 23.00392 ИТТ;0.0;2023-09-11;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;АП053610;https://etpgpb.ru/procedures/etp/838628-nagnetatel-smazki-po-23-00392-itt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
УК УЗТМ-КАРТЭКС;;нет в словаре площадки;УК УЗТМ-КАРТЭКС;;Нагнетатель смазки по 23.00392 ИТТ;0.0;2026-03-30;Москва;completed;Запрос предложений;Закупки.Бизнес;АП116476;https://etpgpb.ru/procedures/etp/1234565-nagnetatel-smazki-po-23-00392-itt/;компрессор+нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Ремонт нагнетателей с электроприводом;0.0;2023-01-13;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП301940;https://etpgpb.ru/procedures/etp/730342-remont-nagnetateley-s-elektroprivodom/;нагнетатель;да;нагнетатель;
"Филиал ""Краснодар Бурение""";5003026493;;"ООО ""ГАЗПРОМ БУРЕНИЕ""";5003026493;Нагнетатель смазки электрический С-322 М;0.0;2023-11-24;Москва;commission;Попозиционная;Закупки.Бизнес;АП058743;https://etpgpb.ru/procedures/etp/873363-nagnetatel-smazki-elektricheskiy-s-322-m/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Нагнетатель смазки по 23.00392 ИТТ. Комплект;0.0;2022-01-16;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП213022;https://etpgpb.ru/procedures/etp/586535-nagnetatel-smazki-po-23-00392-itt-komplekt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""Подзембургаз""";;нет в словаре площадки;"ПАО ""Подзембургаз""";;ЗП-711-2022 Нагнетатели смазки;0.0;2022-11-11;Московская область;completed;Попозиционная;Закупки.Бизнес;ГП235192;https://etpgpb.ru/procedures/etp/703715-zp-711-2022-nagnetateli-smazki/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Нагнетатель ТВН 360-22-3;0.0;2024-02-02;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП402544;https://etpgpb.ru/procedures/etp/904767-nagnetatel-tvn-360-22-3/;нагнетатель;да;нагнетатель;
ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;нет в словаре площадки;ГАЗПРОМ НЕФТЕХИМ САЛАВАТ;;67/20.02.20/ПТМ/КО/Э Поставка наконечников нагнетателя смазки;6502.0;2020-02-20;Республика Башкортостан;completed;Конкурентный отбор;Закупки.Бизнес;ГП038520;https://etpgpb.ru/procedures/etp/322903-67-20-02-20-ptm-ko-e-postavka-nakonechnikov-nagnetatelya-smazki/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Нагнетатель смазки подшипников по 23.00579 ИТТ. Комплект;0.0;2023-10-11;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;АП055446;https://etpgpb.ru/procedures/etp/851490-nagnetatel-smazki-podshipnikov-po-23-00579-itt-komplekt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Проектирование и изготовление нагнетателя смазки по 23.00095 ИТТ;;2018-08-10;Свердловская область;completed;Запрос предложений;Закупки.Бизнес;ГП820034;https://etpgpb.ru/procedures/etp/170539-proektirovanie-i-izgotovlenie-nagnetatelya-smazki-po-23-00095-itt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;РОТОР НАГНЕТАТЕЛЯ Н-7500-13-1;;2020-09-29;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП045830;https://etpgpb.ru/procedures/etp/383854-rotor-nagnetatelya-n-7500-13-1/;нагнетатель;да;нагнетатель;
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;РОТОР НАГНЕТАТЕЛЯ Н-7500-14-1;0.0;2022-04-12;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП228173;https://etpgpb.ru/procedures/etp/614956-rotor-nagnetatelya-n-7500-14-1/;нагнетатель;да;нагнетатель;
"ОАО ""Ямал СПГ""";;нет в словаре площадки;"ОАО ""Ямал СПГ""";;"Закупка: нагнетатель смазки для нужд ОАО ""ЯМАЛ СПГ""";0.0;2021-05-16;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес;ГП117430;https://etpgpb.ru/procedures/etp/484678-zakupka-nagnetatel-smazki-dlya-nuzhd-oao-yamal-spg/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;АЦСС по ИТТ 23.00167, АЦСС по ИТТ 23.00168, нагнетатель смазки  по ИТТ 23.00169;;2018-11-26;Свердловская область;completed;Запрос котировок;Закупки.Бизнес;ГП835415;https://etpgpb.ru/procedures/etp/189369-atsss-po-itt-23-00167-atsss-po-itt-23-00168-nagnetatel-smazki-po-itt-23-00169/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;корпус нагнетателя ТВН 360-22-3 в сборе;;2020-10-13;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП034616;https://etpgpb.ru/procedures/etp/401073-korpus-nagnetatelya-tvn-360-22-3-v-sbore/;нагнетатель;да;нагнетатель;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Ротор нагнетателя ТВН-360-22, ч.1316.25СБ;0.0;2024-10-04;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП410978;https://etpgpb.ru/procedures/etp/1016819-rotor-nagnetatelya-tvn-360-22-ch-1316-25sb/;компрессор+нагнетатель;да;нагнетатель;
ГАЗПРОМ ТРАНСГАЗ ГРОЗНЫЙ;2014019710;;ГАЗПРОМ ТРАНСГАЗ ГРОЗНЫЙ;2014019710;"Поставка нагнетателей высоковязких материалов для РЭН ООО ""Чеченгазпром""";2799154.42;2020-01-20;Чеченская Республика;completed;Маркетинговые исследования;Закупки ГК «Газпром»;32008779158;https://etpgpb.ru/procedures/gaz/148843-postavka-nagnetateley-vysokovyazkih-materialov-dlya-ren-ooo-chechengazprom/;нагнетатель;да;нагнетатель;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;"Запчасти на ""Корпус нагнетателя ТВН-360-22-3""";;2020-10-02;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП010655;https://etpgpb.ru/procedures/etp/397195-zapchasti-na-korpus-nagnetatelya-tvn-360-22-3/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Ремонт электродвигателей нагнетателей коксового газа №1, 2 и 3.;;2018-04-19;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП816813;https://etpgpb.ru/procedures/etp/151455-remont-elektrodvigateley-nagnetateley-koksovogo-gaza-1-2-i-3/;нагнетатель;да;нагнетатель;
ЗАО НОРТГАЗ;;нет в словаре площадки;ЗАО НОРТГАЗ;;Поставка сухих газодинамических уплотнений для нагнетателя RC7-6B;;2013-10-24;Ямало-Ненецкий автономный округ;completed;Запрос предложений;Закупки.Бизнес223;ГП310196;https://etpgpb.ru/procedures/etp/4888-postavka-suhih-gazodinamicheskih-uplotneniy-dlya-nagnetatelya-rc7-6b/;нагнетатель;да;нагнетатель;
НОВАТЭК-УСТЬ-ЛУГА;;нет в словаре площадки;НОВАТЭК-УСТЬ-ЛУГА;;Закупка трубопроводной арматуры и нагнетателей смазки;0.0;2021-08-26;Ленинградская область;completed;Запрос предложений;Закупки.Бизнес;ГП144392;https://etpgpb.ru/procedures/etp/527358-zakupka-truboprovodnoy-armatury-i-nagnetateley-smazki/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
"ООО ""ГАЗПРОМНЕФТЬ -СМ""";7728640182;;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";7728640182;Закупка нагнетателя масла и набора д/устранения разлива нефтепродукт;0.0;2022-10-04;Санкт-Петербург;completed;Конкурентный отбор;Закупки.Бизнес;АП028279;https://etpgpb.ru/procedures/etp/686240-zakupka-nagnetatelya-masla-i-nabora-d-ustraneniya-razliva-nefteprodukt/;нагнетатель;да;нагнетатель;
"ООО ""Мечел-Кокс""";7450043423;;"ООО ""Мечел-Кокс""";7450043423;"Ремонт оборудования нагнетателя ООО ""Мечел-Кокс"" согласно ТЗ";0.0;2024-04-11;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП428526;https://etpgpb.ru/procedures/etp/939721-remont-oborudovaniya-nagnetatelya-ooo-mechel-koks-soglasno-tz/;нагнетатель;да;нагнетатель;
БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;нет в словаре площадки;БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;изготовление и поставка деталей редуктора нагнетателя воздушного 360-21-1;150000.0;2017-03-30;Алтайский край;completed;Запрос предложений;Закупки.Бизнес223;31704956825;https://etpgpb.ru/procedures/etp/92641-izgotovlenie-i-postavka-detaley-reduktora-nagnetatelya-vozdushnogo-360-21-1/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Ремонт нагнетателя коксового газа с электроприводом;0.0;2022-04-12;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП228194;https://etpgpb.ru/procedures/etp/623496-remont-nagnetatelya-koksovogo-gaza-s-elektroprivodom/;нагнетатель;да;нагнетатель;
"ПАО ""УРАЛМАШЗАВОД""";6663005798;;"ПАО ""УРАЛМАШЗАВОД""";6663005798;Запрос ценовых котировок на закупку НАГНЕТАТЕЛЬ СМАЗКИ для ШПМ 5х8 по 23.00038 ИТТ;;2017-09-28;Свердловская область;completed;Запрос котировок;Закупки.Бизнес;ГП721774;https://etpgpb.ru/procedures/etp/117079-zapros-tsenovyh-kotirovok-na-zakupku-nagnetatel-smazki-dlya-shpm-5h8-po-23-00038-itt/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
КРАСНОДАР ВОДОКАНАЛ;;нет в словаре площадки;КРАСНОДАР ВОДОКАНАЛ;;Выполнение работ по капитальному ремонту нагнетателя воздуха Н750-23-6;1146140.54;2020-10-14;Краснодарский край;completed;Запрос предложений;Закупки.Бизнес223;32009580630;https://etpgpb.ru/procedures/etp/401508-vypolnenie-rabot-po-kapitalnomu-remontu-nagnetatelya-vozduha-n750-23-6/;нагнетатель;да;нагнетатель;
БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;нет в словаре площадки;БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;Поставка электродвигателя, предназначенного для привода турбо нагнетателя ВДС ОСК-1;3018952.78;2023-02-14;Алтайский край;completed;Запрос предложений;Закупки.Бизнес223;32312115765;https://etpgpb.ru/procedures/etp/744015-postavka-elektrodvigatelya-prednaznachennogo-dlya-privoda-turbo-nagnetatelya-vds-osk-1/;нагнетатель;да;нагнетатель;
"ОАО ""Газпром транcгаз Беларусь""";;в словаре площадки ИНН пустой;"ОАО ""Газпром транcгаз Беларусь""";;Поставка нагнетателей высоковязких материалов для нужд  ОАО «Газпром трансгаз Беларусь» в 2024 году;1938159.97;2024-03-12;;completed;Маркетинговые исследования;Закупки.Бизнес;ГП415920;https://etpgpb.ru/procedures/etp/922488-postavka-nagnetateley-vysokovyazkih-materialov-dlya-nuzhd-oao-gazprom-transgaz-belarus-v-2024-godu/;нагнетатель;да;нагнетатель;
"ООО ""Мечел-Кокс""";7450043423;;"ООО ""Мечел-Кокс""";7450043423;"Ремонт нагнетателей коксового газа согласно ТЗ для нужд ООО ""Мечел-Кокс""";0.0;2026-04-24;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП640887;https://etpgpb.ru/procedures/etp/1244589-remont-nagnetateley-koksovogo-gaza-soglasno-tz-dlya-nuzhd-ooo-mechel-koks/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Текущий ремонт электродвигателей нагнетателей коксового газа №1 и №3 согласно техническому заданию;;2019-12-18;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП936565;https://etpgpb.ru/procedures/etp/302071-tekuschiy-remont-elektrodvigateley-nagnetateley-koksovogo-gaza-1-i-3-soglasno-tehnicheskomu-zadaniyu/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Ремонт нагнетателей коксового газа c электроприводом;0.0;2022-02-17;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП238199;https://etpgpb.ru/procedures/etp/602859-remont-nagnetateley-koksovogo-gaza-c-elektroprivodom/;нагнетатель;да;нагнетатель;
"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";7017005289;;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";7017005289;"Поставка нагнетателей высоковязких материалов для нужд ООО ""Газпром трансгаз Томск"" в 2019 году";1797267.6;2019-04-22;Томская область;completed;;Закупки ГК «Газпром»;31907797522;https://etpgpb.ru/procedures/gaz/135099-postavka-nagnetateley-vysokovyazkih-materialov-dlya-nuzhd-ooo-gazprom-transgaz-tomsk-v-2019-godu/;нагнетатель;да;нагнетатель;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;Нагнетатель ТВН 360-22-3 в сборе черт. 1307.СББ Корпус нагнетателя ТВН 360-22-3 в сборе без ротора Корпус компрессора К 250-61-5 в сборе Артикул 280Н.СП;0.0;2021-04-05;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП104825;https://etpgpb.ru/procedures/etp/467889-nagnetatel-tvn-360-22-3-v-sbore-chert-1307-sbb-korpus-nagnetatelya-tvn-360-22-3-v-sbore-bez-rotora-korpus-kompressora-k-250-61-5-v-sbore-artikul-280n-sp/;компрессор+нагнетатель;да;нагнетатель;
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;Текущий ремонт Нагнетателя Н-7500-14-1 газоочистки ЭСПЦ-6;;2018-06-09;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес;ГП806711;https://etpgpb.ru/procedures/etp/155126-tekuschiy-remont-nagnetatelya-n-7500-14-1-gazoochistki-espts-6/;нагнетатель;да;нагнетатель;
"ПАО ""ЧМК""";7450001007;;"ПАО ""ЧМК""";7450001007;Текущий ремонт нагнетателя Н-7500-14-1 газоочистки ЭСПЦ-6;;2018-03-14;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес;ГП803927;https://etpgpb.ru/procedures/etp/140742-tekuschiy-remont-nagnetatelya-n-7500-14-1-gazoochistki-espts-6/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Капитальный ремонт нагнетателя коксового газа №3 (НГ 750-23-8);;2020-03-04;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП003587;https://etpgpb.ru/procedures/etp/328631-kapitalnyy-remont-nagnetatelya-koksovogo-gaza-3-ng-750-23-8/;нагнетатель;да;нагнетатель;
ГАЗПРОМ ДОБЫЧА НАДЫМ;8903019871;;ГАЗПРОМ ДОБЫЧА НАДЫМ;8903019871;"Поставка товара для нужд ООО ""Газпром добыча Надым"". Нагнетатели, тали.";635908.48;2018-12-26;Ямало-Ненецкий автономный округ;completed;;Закупки ГК «Газпром»;31807363873;https://etpgpb.ru/procedures/gaz/130959-postavka-tovara-dlya-nuzhd-ooo-gazprom-dobycha-nadym-nagnetateli-tali/;нагнетатель;да;нагнетатель;
"АО ""СЗ""";9106001900;;"АО ""СЗ""";9106001900;"Ротор к нагнетателю ТВН 360-22-3 Ротор нагнетателя ТВН 360-22, ч. 1316.25 СБ (материал покрышек,диска с лопатками,втулки-стал... - 1 ШТ; Воздухоохладитель эл.двиг.компрес.ЭВН360 Электродвигатель СТД-800-23УХЛ4 - 2 ШТ ; Ротор к нагнетателю ТВН 360-22-3 Ротор нагнетателя ТВН 360-22, ч. 1316.25 СБ (материал покрышек,диска с лопатками,втулки-стал...- 1 ШТ;";0.0;2023-08-31;Республика Крым;completed;Запрос предложений;Закупки.Бизнес;ГП356578;https://etpgpb.ru/procedures/etp/834825-rotor-k-nagnetatelyu-tvn-360-22-3-rotor-nagnetatelya-tvn-360-22-ch-1316-25-sb-material-pokryshek-diska-s-lopatkami-vtulki-stal-1-sht-vozduhoohladitel-el-dvig-kompres-evn360-elektrodvigatel-std-800-23uhl4-2-sht-rotor-k-nagnetatelyu-tvn-360-22-3-rotor-nagnetatelya-tvn-360-22-ch-1316-25-sb-material-pokryshek-diska-s-lopatkami-vtulki-stal-1-sht/;нагнетатель;да;нагнетатель;
"АО ""МОСКОКС""";5003003915;;"АО ""МОСКОКС""";5003003915;Текущей ремонт нагнетателей коксового газа и электродвигателей;0.0;2021-02-05;Московская область;completed;Запрос предложений;Закупки.Бизнес;ГП114092;https://etpgpb.ru/procedures/etp/444493-tekuschey-remont-nagnetateley-koksovogo-gaza-i-elektrodvigateley/;нагнетатель;да;нагнетатель;
"ООО ""Мечел-Кокс""";7450043423;;"ООО ""Мечел-Кокс""";7450043423;"Капитальный ремонт нагнетателей коксового газа согласно ТЗ для нужд ООО ""Мечел-Кокс""";0.0;2025-03-31;Челябинская область;completed;Попозиционная;Закупки.Бизнес;ГП551735;https://etpgpb.ru/procedures/etp/1100543-kapitalnyy-remont-nagnetateley-koksovogo-gaza-soglasno-tz-dlya-nuzhd-ooo-mechel-koks/;нагнетатель;да;нагнетатель;
ООО «Газпром трансгаз Югорск»;8622000931;;ООО «Газпром трансгаз Югорск»;8622000931;"Поставка ручных нагнетателей для нужд ООО ""Газпром трансгаз Югорск""(0093927)";1244688.48;2021-11-25;Ханты-Мансийский автономный округ - Югра;completed;Маркетинговые исследования;Закупки ГК «Газпром»;32110864076;https://etpgpb.ru/procedures/gaz/174826-postavka-ruchnyh-nagnetateley-dlya-nuzhd-ooo-gazprom-transgaz-yugorsk-0093927/;нагнетатель;да;нагнетатель;
"АО ""Газпром центрэнергогаз""";5050002450;;"АО ""Газпром центрэнергогаз""";5050002450;044/ЦЭГ/14_2.2_4331/15.12.14/ЗЭ Поставка материалов для ремонта нагнетателей для нужд филиала «Уфимский» ДОАО «Центрэнергогаз» ОАО «Газпром» в 2015 году;2516032.58;2014-12-15;Московская область;completed;Запрос предложений;Закупки ГК «Газпром»;31401817192;https://etpgpb.ru/procedures/gaz/27508-044-tseg-14-2-2-4331-15-12-14-ze-postavka-materialov-dlya-remonta-nagnetateley-dlya-nuzhd-filiala-ufimskiy-doao-tsentrenergogaz-oao-gazprom-v-2015-godu/;нагнетатель;да;нагнетатель;
"ООО ""ГАЗПРОМНЕФТЬ ШИППИНГ""";7805480017;;"ООО ""ГАЗПРОМНЕФТЬ ШИППИНГ""";7805480017;"Поставка плунжерного нагнетателей и сменно запасных частей для оборудования Speck на суда ООО ""Газпромнефть Шиппинг""";0.0;2024-07-18;Санкт-Петербург;completed;Конкурентный отбор;Закупки.Бизнес;АП074239;https://etpgpb.ru/procedures/etp/982436-postavka-plunzhernogo-nagnetateley-i-smenno-zapasnyh-chastey-dlya-oborudovaniya-speck-na-suda-ooo-gazpromneft-shipping/;нагнетатель;да;нагнетатель;
"АО ""ГАЗСТРОЙПРОМ""";;нет в словаре площадки;ГСП Ремонт;7737106202;Выполнение работ по капитальному ремонту нагнетателя на объектах ООО «Газпром трансгаз Ставрополь» в 2024 году;45156950.4;2023-07-24;Москва;completed;Попозиционная;Закупки.Бизнес;ГП343547;https://etpgpb.ru/procedures/etp/818124-vypolnenie-rabot-po-kapitalnomu-remontu-nagnetatelya-na-obektah-ooo-gazprom-transgaz-stavropol-v-2024-godu/;нагнетатель;да;нагнетатель;
ГАЗПРОМ трансгаз Нижний Новгород;5260080007;;ГАЗПРОМ трансгаз Нижний Новгород;5260080007;Поставка нагнетателей смазки и комплектов аварийной перестановки запорной арматуры для нужд ООО «Газпром трансгаз Нижний Новгород»   в 2019 году;3076767.88;2018-11-27;Нижегородская область;completed;Запрос предложений;Закупки ГК «Газпром»;31807206262;https://etpgpb.ru/procedures/gaz/128436-postavka-nagnetateley-smazki-i-komplektov-avariynoy-perestanovki-zapornoy-armatury-dlya-nuzhd-ooo-gazprom-transgaz-nizhniy-novgorod-v-2019-godu/;нагнетатель;нет;нагнетатель;нагнетатель-дозатор
