marka;vid;sereya;proizvoditel;sreda;uverennost;pochemu;predpriyatiy;upominaniy;goditsya_dlya_poiska;kto_razobral
А-29;позиционное обозначение;;;неизвестно;низкая;Одиночная буква с числом характерна для позиционного тега, но буква А не имеет единого стандартного значения;3;13;;2-я сессия
РN 1;не опознано;;;неизвестно;низкая;"Вероятно обозначение номинального давления (PN 1), а не единица оборудования; как модель машины не распознаётся";2;13;;2-я сессия
В-1.1;позиционное обозначение;;;неизвестно;средняя;"В — типичный буквенный код вентилятора/воздуходувки на схемах; десятичный формат 1.1 характерен для позиционных тегов";3;13;;2-я сессия
FAS 942;не опознано;;;неизвестно;низкая;Обозначение FAS 942 не идентифицируется в известных сериях компрессорного оборудования;2;13;;2-я сессия
МК-20/220;поршневой компрессор;МК;;зависит от исполнения;средняя;Формат МК-подача/давление типичен для отечественных поршневых компрессоров;3;12;;2-я сессия
ТА-6000;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии компрессорного оборудования;3;12;;2-я сессия
LB 75;винтовой компрессор;LB;;зависит от исполнения;средняя;Формат латинских букв и числа характерен для западных винтовых компрессоров, серия LB встречается уряда производителей;5;12;;2-я сессия
ДЭН-30Ш;насос;ДЭН;;неизвестно;высокая;ДЭН — дренажный электронасос, стандартная отечественная серия;5;12;;2-я сессия
АСУВ-8-ДАКЖ;иное оборудование;;;неизвестно;средняя;АСУВ — аббревиатура автоматизированной системы управления, не относится к ротационному оборудованию;2;12;;2-я сессия
К500-61-5;центробежный компрессор;К;;зависит от исполнения;средняя;Серия К с числовыми индексами соответствует советским/российским центробежным компрессорам;2;12;да;2-я сессия
К-105-61-1;центробежный компрессор;К;;зависит от исполнения;средняя;Аналогичный формат серии К для центробежных компрессоров;3;12;да;2-я сессия
LB30A;винтовой компрессор;LB;;зависит от исполнения;средняя;"Та же серия LB, буква A — модификация; формат типичен для западных винтовых компрессоров";5;12;;2-я сессия
ГТ-6-750;не опознано;;;неизвестно;низкая;ГТ может означать газовую турбину или иной агрегат, конкретная серия не идентифицируется;2;12;;2-я сессия
Н-370;позиционное обозначение;;;неизвестно;средняя;Формат буква-число без дополнительных признаков серии — типичное позиционное обозначение насоса на P&ID;2;12;;2-я сессия
RF2BB-30;не опознано;;;неизвестно;низкая;Буквенно-цифровая комбинация не соответствует известным сериям компрессорного оборудования;2;12;;2-я сессия
ТВ 50/1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;"ТВ — классическая советская серия турбовоздуходувок; формат подача/давление стандартен для этой серии";2;12;да;2-я сессия
ТВ-80-1.6;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;"Серия ТВ,80 — подача м³/мин, 1.6 — давление бар; типичная турбовоздуходувка";4;12;да;2-я сессия
ДЭН-250ШМ;насос;ДЭН;;неизвестно;высокая;"ДЭН — дренажный электронасос, ШМ — модификация; та же серия, чтоДЭН-30Ш";3;12;;2-я сессия
ВД-13;вентилятор или дымосос;ВД;;воздух;средняя;"ВД — возможно вентилятор дутьевой; формат и буквенный индекс характерны для тягодутьевых машин";4;12;;2-я сессия
УН10.79;не опознано;;;неизвестно;низкая;"Формат с десятичным числом не соответствует известным сериям; возможно обрывок каталожного номера";3;12;;2-я сессия
С-001;позиционное обозначение;;;неизвестно;высокая;Буква-трёхзначный номер — классическое позиционное обозначение аппарата (вероятно сепаратора) на схеме;2;12;;2-я сессия
АТ-25-2;позиционное обозначение;;;неизвестно;средняя;АТ — типичная позиция аппарата (аппарат технологический или воздушный теплообменник) на P&ID;2;12;;2-я сессия
2ОК1;поршневой компрессор;ОК;;воздух;высокая;2ОК1 — широко известный судовой поршневой компрессор пускового воздуха советского производства;3;12;;2-я сессия
Э-360-22-1;позиционное обозначение;;;неизвестно;средняя;Формат «буква-число-число-число» совпадает с позиционными обозначениями аппаратов (Э — теплообменник/экономайзер) на технологических схемах;2;12;;2-я сессия
АФК 1Э;не опознано;;;неизвестно;низкая;Аббревиатура АФК не сопоставляется ни с одной известной серией компрессоров или насосов;3;12;;2-я сессия
Б-1/1;позиционное обозначение;;;неизвестно;средняя;Формат «буква-номер/номер» типичен для позиционных обозначений аппаратов (Б — бункер, барабан и т.п.) на P&ID;5;12;;2-я сессия
Н750-23-6;позиционное обозначение;;;неизвестно;низкая;Структура аналогична примеру Н-370-18-1 (позиционное обозначение насоса), но отсутствие дефиса после Н вносит неопределённость;3;12;;2-я сессия
R-134;иное оборудование;;;неизвестно;средняя;Обозначение хладагента R-134 (тетрафторэтан), а не машины;3;12;;2-я сессия
DK50-10S;не опознано;;;неизвестно;низкая;Иностранное обозначение DK50-10S не сопоставляется с известной серией компрессоров или насосов;2;12;;2-я сессия
2.;не опознано;;;неизвестно;низкая;Изолированная цифра с точкой — обрывок строки или порядковый номер списка;6;12;;2-я сессия
ВКМ 2020;не опознано;;;неизвестно;низкая;"Аббревиатура ВКМ не сопоставляется с известной серией оборудования;2020 может быть годом или типоразмером";4;12;;2-я сессия
13;не опознано;;;неизвестно;низкая;Изолированное число без контекста — обрывок строки или порядковый номер;7;12;;2-я сессия
П-2/4;позиционное обозначение;;;неизвестно;средняя;Формат «П-номер/номер» типичен для позиционных тегов аппаратов (П — подогреватель, печь и т.п.) на технологических схемах;5;12;;2-я сессия
GA90;винтовой компрессор;GA;Atlas Copco;воздух;высокая;"Atlas Copco серия GA — роторные винтовые компрессоры; GA90 = модель90 кВт, широко известна в отрасли";5;12;;2-я сессия
П-3/1;позиционное обозначение;;;неизвестно;средняя;Аналог П-2/4 — позиционный тег аппарата на P&ID;6;12;;2-я сессия
ДЭН-75Ш;насос;ДЭН;;зависит от исполнения;средняя;ДЭН — дренажный электронасос, 75 — параметр мощности/производительности, Ш — модификация;5;12;;2-я сессия
ПК-101/2;позиционное обозначение;;;неизвестно;средняя;"Формат «ПК-число/число» похож на позиционный тег (ПК = пакетный конденсатор или позиция компрессора); число 101/2 — типичный тег позиции";2;12;;2-я сессия
НК 65/35-125;насос;НК;;зависит от исполнения;высокая;"НК — насос консольный, стандартная российская серия; 65/35 — диаметры патрубков мм, 125 — диаметр рабочего колеса мм";6;12;;2-я сессия
Н-201;позиционное обозначение;;;неизвестно;высокая;Н + трёхзначный номер — классический позиционный тег насоса на технологической схеме;8;12;;2-я сессия
НКВ-360/200;насос;НКВ;;зависит от исполнения;средняя;"НКВ — вероятно, насос консольный вертикальный; 360/200 — производительность/напор; параметры соответствуют промышленным насосам";5;12;;2-я сессия
1-25;не опознано;;;неизвестно;низкая;Набор цифр без буквенного префикса, не распознаётся как обозначение оборудования;2;12;;2-я сессия
Н-14/1;позиционное обозначение;;;неизвестно;высокая;Формат «Н-число/число» типичен для позиционного обозначения насоса на технологической схеме (Н = насос);5;12;;2-я сессия
НКВ 210/200;насос;НКВ;;зависит от исполнения;средняя;НКВ встречается в российской номенклатуре насосов (насос консольный вертикальный),210/200 — вероятно подача/напор;7;12;;2-я сессия
Н-9000-11-5;насос;;;зависит от исполнения;средняя;"Префикс Н с числовыми параметрами характерен для модельного обозначения крупного насоса;9000 — вероятно подача м³/ч";2;12;;2-я сессия
П110;не опознано;;;неизвестно;низкая;Краткое буквенно-цифровое обозначение без однозначных признаков конкретного типа оборудования;6;12;;2-я сессия
Н-27/1;позиционное обозначение;;;неизвестно;высокая;Аналогично Н-14/1 — типичный формат позиционного обозначения насоса на P&ID;5;12;;2-я сессия
В-1.2;позиционное обозначение;;;неизвестно;средняя;"В = вентилятор; формат «В-число» характерен для позиционного обозначения на вентиляционной схеме";2;12;;2-я сессия
ВР 80-75;вентилятор или дымосос;ВР 80-75;;воздух;высокая;"ВР — стандартная серия радиальных (центробежных) вентиляторов по российским ГОСТ;ВР 80-75 — конкретная типоразмерная группа";3;12;;2-я сессия
ВР 280-46;вентилятор или дымосос;ВР 280-46;;воздух;высокая;"ВР — серия радиальных вентиляторов; ВР 280-46 — широко распространённая типоразмерная группа для систем вентиляции и дымоудаления";3;12;;2-я сессия
11;не опознано;;;неизвестно;низкая;Одиночное число без контекста, идентификация невозможна;5;12;;2-я сессия
К-310;центробежный компрессор;К;;зависит от исполнения;средняя;Буква К в советской/российской номенклатуре — классический маркер центробежного компрессора;3;11;да;2-я сессия
HR-42;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии;2;11;;2-я сессия
ВЦ 4-75;вентилятор или дымосос;ВЦ 4-75;;воздух;высокая;ВЦ — вентилятор центробежный, серия 4-75 широко известна в СССР/России;4;11;;2-я сессия
GM 130;винтовой компрессор;GM;Atlas Copco;воздух;средняя;GM — серия маслозаполненных винтовых компрессоров Atlas Copco;2;11;;2-я сессия
5К905.1;не опознано;;;неизвестно;низкая;"Формат не совпадает ни с одной известной серией; возможно, номер запчасти или позиционный номер";2;11;;2-я сессия
ZH7000;центробежный компрессор;ZH;Atlas Copco;воздух;средняя;ZH — серия безмасляных центробежных (интегрально-редукторных) компрессоров Atlas Copco;3;11;да;2-я сессия
К-200;центробежный компрессор;К;;зависит от исполнения;средняя;Буква К в советской/российской номенклатуре — маркер центробежного компрессора;2;11;да;2-я сессия
СДА 10/251;не опознано;;;неизвестно;низкая;Аббревиатура СДА не идентифицируется как известная серия компрессорного оборудования;4;11;;2-я сессия
СБ 4/С-100;поршневой компрессор;СБ;;воздух;средняя;СБ — российское обозначение поршневых компрессорных установок, параметры типичны для этой серии;5;11;;2-я сессия
SAB 128;винтовой компрессор;SAB;Sabroe (Johnson Controls);зависит от исполнения;средняя;SAB — серия маслозаполненных винтовых компрессоров Sabroe,128 — типоразмер;2;11;;2-я сессия
TA-6000;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии компрессорного оборудования;3;11;;2-я сессия
К-400-51-1;центробежный компрессор;К;;зависит от исполнения;средняя;Структура К-[подача]-[напор]-[исполнение] типична для советских центробежных компрессоров;2;11;да;2-я сессия
PDS265SC-W;винтовой компрессор;PDS;Airman;воздух;средняя;PDS — серия передвижных дизельных винтовых компрессоров Airman (Fuji Robin);2;11;;2-я сессия
ГТТ-12;не опознано;;;неизвестно;низкая;Аббревиатура ГТТ не идентифицируется как известная серия;4;11;;2-я сессия
ТА-13;позиционное обозначение;;;неизвестно;средняя;ТА + номер — типичный формат позиционного обозначения теплообменного аппарата на схеме;3;11;;2-я сессия
ТВ 80-1.6;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;"ТВ — стандартное российское обозначение турбовоздуходувки;80 — производительность, 1.6 — давление";2;11;да;2-я сессия
ЛЧ 35/11-600;не опознано;;;неизвестно;низкая;Аббревиатура ЛЧ не соответствует известным сериям компрессорного или насосного оборудования;2;11;;2-я сессия
НПС-120/65-750;насос;НПС;;зависит от исполнения;высокая;"НПС — насосная перекачивающая станция / насос перекачки сырья; параметры 120/65-750 типичны для насосов";4;11;;2-я сессия
ПК 5;поршневой компрессор;;;зависит от исполнения;средняя;ПК — общепринятое сокращение «поршневой компрессор» в российской документации;3;11;;2-я сессия
Т-6/1;не опознано;;;неизвестно;низкая;Префикс Т с параметрами 6/1 не сопоставляется с конкретной известной серией;6;11;;2-я сессия
WP15L;не опознано;;;неизвестно;низкая;Латинское обозначение не идентифицируется как конкретная известная модель компрессора или насоса;2;11;;2-я сессия
СЦ-1;не опознано;;;неизвестно;низкая;"СЦ-1 не сопоставляется с известной серией; возможно позиционное обозначение, но уверенности нет";4;11;;2-я сессия
ВР 86-77;вентилятор или дымосос;ВР86-77;;воздух;высокая;"ВР — Вентилятор Радиальный; 86-77 — номер аэродинамической схемы по ГОСТ, стандартная серия";3;11;;2-я сессия
СБШ-250;иное оборудование;СБШ;Уралмашзавод / Рудгормаш;неизвестно;высокая;"СБШ — Станок Буровой Шарошечный, 250 — диаметр скважины мм; буровая установка, не компрессор";3;11;;2-я сессия
НК-200/210;насос;НК;;зависит от исполнения;средняя;"НК — серия центробежных насосов нефтяного применения; параметры 200/210 типичны для насосного обозначения";4;11;;2-я сессия
RRF-350;не опознано;;;неизвестно;низкая;Обозначение RRF-350 не сопоставляется с известной серией оборудования;2;11;;2-я сессия
АУ 140-50;не опознано;;;неизвестно;низкая;Аббревиатура АУ не идентифицирована в известных сериях компрессоров или насосов;4;11;;2-я сессия
R-202;позиционное обозначение;;;неизвестно;средняя;Формат «буква-число» типичен для позиционных обозначений аппаратов на технологических схемах;4;11;;2-я сессия
КЛС-1000;не опознано;;;неизвестно;низкая;Аббревиатура КЛС-1000 не сопоставляется с известной серией компрессорного или иного оборудования;3;11;;2-я сессия
GM 10S;не опознано;;;неизвестно;низкая;Обозначение GM 10S не идентифицируется как конкретная известная модель;3;11;;2-я сессия
К-25М;не опознано;;;неизвестно;низкая;"К-25М не соответствует стандартному формату серии К насосов (обычно К-подача/напор); иная серия не установлена";2;11;;2-я сессия
