organizaciya,inn,marka,moshchnost,god,cena,tip_oborudovaniya,istochnik,dokument,ssylka,kak_privyazano,ogovorka
ООО «Баковский завод»,,"ТНС1,4/11","0,853 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Теплоинжсервис""",,LOGANO SK755,"0,63 Гкал/ч",2023,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №2; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Теплосервис-М»,,типа ТТ100-01,"7,482 Гкал/ч",2017,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: БМК «Импульс» г. Одинцово, ул. Скол-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
ООО «Теплосервис-М»,,типа ТТ100-01,"8,6 Гкал/ч",2017,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: БМК «Импульс» г. Одинцово, ул. Скол-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
ООО «Теплосервис-М»,,"19500, М241","16,77 Гкал/ч",2009,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ул. Чи-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Теплосервис-М»,,16500 М241,"14,19 Гкал/ч",2009,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ул. Чи-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Теплосервис-М»,,Global -10,"5,16 Гкал/ч",2004,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Трех-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ОАО «Союзэнерго»,,ASGX-5000,"4,3 Гкал/ч",2007,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная мкр.; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ОАО «Союзэнерго»,,ASGX-6000,"5,16 Гкал/ч",2007,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная мкр.; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Гефест-Инжиниринг»,,типа М64А,"12,21 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Ге-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,Logano S825М-,"2,15 Гкал/ч",2017,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №1; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,PV1,"0,963 Гкал/ч",2020,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №2, ул.; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
ООО «УК Энергоцентр»,,PV1,"1,72 Гкал/ч",2020,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: Котельная №2, ул.; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
ООО «УК Энергоцентр»,,Valdex M2,"3,065 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №3 ДО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,Vitomax 100-LW,"3,61 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №3 ДО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,Vitomax 200-LW,"5,8 Гкал/ч",2017,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №4; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,MKS,"3,065 Гкал/ч",2016,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №5; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,Vitomax 100-LW,"3,61 Гкал/ч",2016,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная №5; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,PS072,"0,619 Гкал/ч",2002,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дом; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,PS140,"1,204 Гкал/ч",2002,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дом; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,"ДКВр-6,5/13","3,65 Гкал/ч",1980,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ФГБУ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,"ДКВр-6,5/13","3,65 Гкал/ч",1964,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ФГБУ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «УК Энергоцентр»,,"ДКВр-6,5/13","3,65 Гкал/ч",1965,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ФГБУ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ФГУП «Комплекс»,,Logano S825L-,"4,472 Гкал/ч",2009,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная филиа-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «РУШ»,,типа М 238,"4,386 Гкал/ч",2019,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «РУШ»,,типа М 238,"13,55 Гкал/ч",2019,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""ГУК""",,Vitomax 100 PV1,"1,72 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: БМК ООО ""ГУК"" г. Голицыно, Заводской; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
"ООО ""ГУК""",,Vitomax 100 PV1,"1,315 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,"объект: БМК ООО ""ГУК"" г. Голицыно, Заводской; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку"
АО «Парк-Отель «Ершово»,,КВГМ-10,10 Гкал/ч,1981,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дом; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Парк-Отель «Ершово»,,КВГМ-10,10 Гкал/ч,1982,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дом; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Парк-Отель «Ершово»,,ций),"0,998 Гкал/ч",1988,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «НМИЦ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Теплоэнергетическое предприятие»,,TNX 7000,"6,02 Гкал/ч",2018,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная КТУ-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Теплоэнергетическое предприятие»,,TNX 1450,"1,247 Гкал/ч",2018,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная КТУ-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Теплоэнергетическое предприятие»,,ICI REX120,"1,032 Гкал/ч",2023,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная КТУ-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Геруда»,,115П,10 Гкал/ч,2018,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Геруда»,,115П,20 Гкал/ч,2018,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Интеркапстрой""",,ТТКV-40-41,"3,526 Гкал/ч",2021,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Стройполимер»,,"ДЕ-6,5/13","3,66 Гкал/ч",1971,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная АО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «КТТ-Дубки»,,"""ВАПОР""","3,44 Гкал/ч",2005,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «КТТ-Дубки»,,"""ВАПОР""","6,88 Гкал/ч",2007,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «КТТ-Дубки»,,"""ВАПОР""","6,88 Гкал/ч",2009,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ОАО «121 АРЗ»,,«121 АРЗ» ДЕ-25-14-ГМ,"14,06 Гкал/ч",1982,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ОАО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ОАО «121 АРЗ»,,ДЕ-25-14-ГМ,"14,06 Гкал/ч",2000,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ОАО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ОАО «121 АРЗ»,,ТТ-100,"10,32 Гкал/ч",2019,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ОАО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Царский лес»,,Vitoplex-SX 2A,"1,376 Гкал/ч",2011,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Дом; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Московская Инженерная Компания (ТСЖ «Грюнвальд»,,R3406,"1,023 Гкал/ч",2010,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ТСЖ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «ТеплоВиК»,,ВИТИС»,"0,654 Гкал/ч",2012,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ТСЖ; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Поречье""",,100 M148,"2,49 Гкал/ч",2013,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Поречье""",,100 M148,"1,06 Гкал/ч",2013,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Поречье""",,100 M148,"4,3 Гкал/ч",2015,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная ООО; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Поречье""",,ТГ-3-95,"3,0 Гкал/ч",1972,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Усо-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
"ООО ""Поречье""",,ТГ-3-95,"3,0 Гкал/ч",1971,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Петелинская птицефабрика»,,ДКВр-10/13,"5,63 Гкал/ч",1969,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Пете-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
ООО «Московская энергетическая компания»,,(П-126),"10,49 Гкал/ч",2021,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная «Пете-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
АО «Пансионат с лечением Солнечная поляна»,,Турботерм-2500,"2,15 Гкал/ч",2007,,котёл,"схема теплоснабжения (190-ФЗ), таблица 7","Схема теплоснабжения Одинцовского г.о. МО на 2025-2045, обосновывающие материалы, книга 1, табл. 7",https://odin.ru/img/2026/04/files/t_2_Skhema_TS_OM_kn1_Odincovskijj_GO_.pdf,колонка «Эксплуатирующая организация» той же строки таблицы; ИНН в документе нет,объект: Котельная пансио-; год = год ввода в эксплуатацию; парсер мог обрезать двухсловную марку
