oboznachenie;tip;sreda;rasshifrovka;uverennost
РЗ-7,5;насос;не знаю;насос шестеренный для подачи масла в маслобаки турбокомпрессоров;высокая
К-3/1,2,3;не машина;не знаю;позиционные номера турбокомпрессоров в линии отдувок;высокая
В-63/1;не машина;не знаю;технологический номер турбокомпрессора ТВ-200-1,12 М1-01;высокая
А01-00369-0002;не машина;не знаю;регистрационный номер ОПО цеха № 2 по производству муки;высокая
ПМ-12;не машина;не знаю;пробоотборник маятниковый позиция 79;высокая
ПМ-10;не машина;не знаю;пробоотборник маятниковый позиция 29 или 38;высокая
ESD 351;винтовой;воздух;винтовой компрессор Kaeser ESD 351;высокая
Р22,5 ПТ;не машина;не знаю;обозначение трубопровода турбокомпрессора, неполная запись;средняя
МПЛ-1;не машина;не знаю;номер позиции или регистрации, не марка машины;высокая
ТВ200-1.4;центробежный;воздух;турбокомпрессор ТВ-200 для сжатия воздуха;высокая
А58-40551-0058;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
RPK 60;центробежный;природный газ;турбокомпрессор для переработки попутного нефтяного газа;высокая
СМХ-02-0129-2024;не машина;не знаю;номер заключения экспертизы промышленной безопасности;высокая
СМХ-02-0128-2024;не машина;не знаю;номер заключения экспертизы промышленной безопасности;высокая
С701 А;не машина;не знаю;номер здания или сооружения;высокая
У150/30;не знаю;не знаю;недостаточно данных для определения типа оборудования;низкая
ТВ200-1.4-0;центробежный;воздух;турбокомпрессор ТВ-200 для сжатия воздуха;высокая
А68-00341;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
Д-3-5-12;не машина;не знаю;номер цеха производства метил-трет-бутилового эфира;высокая
Н-8/1;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-8/3;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-8/2;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-8/4;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-7/2;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-7/4;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-7/1;не машина;не знаю;технический номер позиции насоса по схеме;высокая
УМН-126;насос;не знаю;шестеренный насос;высокая
УМН-120;насос;не знаю;шестеренный насос;высокая
Н-11/4;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-11/2;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-11/1;не машина;не знаю;технический номер позиции насоса по схеме;высокая
Н-11/3;не машина;не знаю;технический номер позиции насоса по схеме;высокая
ТВ-200-1;центробежный;воздух;турбокомпрессор ТВ-200 для сжатия воздуха;высокая
ЦфШнВ-1.00-ВМ;не знаю;не знаю;центрифуга шнековая, среда не определена из контекста;средняя
ФВВ-112;не знаю;не знаю;центрифуга фильтрующая вибрационная, среда не определена;средняя
WARMAN 8/6 F;насос;не знаю;шламовый насос Warman;высокая
ПК-1,2-12;не знаю;не знаю;питатель качающийся для углеприема;средняя
ТВ 200-1,4-0;центробежный;воздух;турбокомпрессор ТВ-200 для сжатия воздуха;высокая
WARMAN 8/6 EAH;насос;не знаю;шламовый насос Warman;высокая
ГЦМ-360;не знаю;не знаю;грохот цилиндрический моечный;средняя
ТО-360;не знаю;не знаю;технологическое оборудование, тип не определен из контекста;низкая
МПЛ-150;не знаю;не знаю;машина для подготовки проб лабораторная;средняя
ГЦМ-350;не знаю;не знаю;грохот цилиндрический моечный;средняя
СВП-500;не знаю;не знаю;сепаратор вибрационный, тип не определен;низкая
MACO146;не знаю;не знаю;недостаточно данных для определения типа;низкая
NP1110;не знаю;не знаю;недостаточно данных для определения типа;низкая
EBW48;не знаю;не знаю;центрифуга шнековая фильтрующая для обогащения угля;средняя
ТВ-80-1,8;центробежный;воздух;турбокомпрессор ТВ-80 для сжатия воздуха;высокая
EBW 48 HR;не машина;не знаю;центрифуга шнековая фильтрующая, не компрессорное оборудование;высокая
ФВШ-1.00-С;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ПМ-35;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
В-1200;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ЭШ-1400;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
В-1400;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ПМ 1-16;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ГЦ-1000;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
В-900;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ГЦ-710;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ГИСЛ-62 У;не знаю;не знаю;контекст неясен, строка реестра описывает турбокомпрессор ТВ-80, но не само обозначение;низкая
ТЭЦ-1;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
ПНД-4 ТГ;не машина;не знаю;подогреватель низкого давления турбогенератора, позиция в схеме;высокая
ПНД-3 ТГ;не машина;не знаю;подогреватель низкого давления турбогенератора, позиция в схеме;высокая
ТГ-10;не машина;не знаю;турбогенератор номер 10, позиция по схеме;высокая
КМ-100;центробежный;природный газ;компрессор магистральный КМ-100, маслосистема уплотнений ЦНД на газовой компрессорной станции;высокая
ЭВС-2 ПЭР;не машина;не знаю;обозначение цеха или производства на металлургическом заводе;средняя
ТЭЦ-12;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
ТЭЦ-25;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
Б-301;не машина;не знаю;аппарат или емкость в технологической схеме установки компрессии;высокая
LCV-405;не машина;не знаю;регулирующий клапан по стандарту ISA, позиция в схеме;высокая
ТЭЦ-26;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
ЦСД-2;не машина;не знаю;цилиндр среднего давления турбины, часть паровой турбины, не компрессор;высокая
Тр-1148;не машина;не знаю;регистрационный номер трубопровода;высокая
К-2026;не машина;не знаю;номер документа или позиции, не марка компрессора;высокая
ТК-1/10;центробежный;природный газ;турбокомпрессор на ГПЗ, обрабатывает попутный нефтяной газ;высокая
V-133;не машина;не знаю;напорный бак, емкостное оборудование;высокая
Т-102/4;не машина;не знаю;аппарат воздушного охлаждения, теплообменник;высокая
Т-102/3;не машина;не знаю;аппарат воздушного охлаждения, теплообменник;высокая
ТЭЦ-11;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
ТЭЦ-2;не машина;не знаю;теплоэлектроцентраль, название площадки;высокая
АТ-201/1;не машина;не знаю;аппарат технологический, позиция в схеме ГПЗ;высокая
Г-42/2;не машина;не знаю;номер технологической линии трубопровода;высокая
АТ-101/1;не машина;не знаю;аппарат технологический, позиция в схеме ГПЗ;высокая
Г-42/1;не машина;не знаю;номер технологической линии трубопровода;высокая
АТ-301/1;не машина;не знаю;аппарат технологический, позиция в схеме ГПЗ;высокая
Г-42/3;не машина;не знаю;номер технологической линии трубопровода;высокая
К-890;центробежный;технологический газ;сырьевой компрессор на установке переработки попутного газа;высокая
Т-102/5;не машина;не знаю;аппарат воздушного охлаждения, теплообменник;высокая
Т-102/1;не машина;не знаю;аппарат воздушного охлаждения, теплообменник;высокая
В-104;центробежный;технологический газ;Центробежный нагнетатель на установке компримирования газа, нефтяной газ;высокая
ТЭЦ-2 ПАО;не машина;не знаю;Название предприятия (теплоэлектроцентраль);высокая
ТГК-2;не машина;не знаю;Название организации (Территориальная генерирующая компания);высокая
ТЭЦ-14;не машина;не знаю;Название предприятия (теплоэлектроцентраль);высокая
ГРЭС-2;не машина;не знаю;Название предприятия (государственная районная электростанция);высокая
ТГК-1;не машина;не знаю;Название организации (Территориальная генерирующая компания);высокая
ПСГ-1;не машина;не знаю;Позиция подогревателя сетевой воды по схеме;высокая
Т-100/120-130-3;не машина;не знаю;Обозначение паровой турбины (не компрессорное оборудование);высокая
ПНД-1;не машина;не знаю;Позиция подогревателя низкого давления по схеме;высокая
А05-11580-0008;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
ТЭЦ-3;не машина;не знаю;Название предприятия (теплоэлектроцентраль);высокая
ПНД-4;не машина;не знаю;Позиция подогревателя низкого давления по схеме;высокая
Т-106/1-12;не машина;не знаю;Позиция аппарата (вероятно сепаратор) по схеме ГПЗ;средняя
КЦ-101/1-3;центробежный;технологический газ;Центробежный компрессор на ГПЗ, сырой попутный газ;высокая
Г-4/2 ПНГ;не машина;не знаю;Обозначение линии трубопровода (попутный нефтяной газ);высокая
ТКА-1,2,3;центробежный;технологический газ;Турбокомпрессорные агрегаты на установке компримирования ПНГ;высокая
КШ-01;не машина;не знаю;Позиция компрессорного шкафа или коллектора по схеме;высокая
ПСГ-2;не машина;не знаю;Позиция подогревателя сетевой воды по схеме;высокая
Тр-1095;не машина;не знаю;Регистрационный номер трубопровода;высокая
Тр-1102;не машина;не знаю;Регистрационный номер трубопровода;высокая
Тр-176;не машина;не знаю;Регистрационный номер трубопровода;высокая
ПНД-4 ПП;не машина;не знаю;Позиция подогревателя низкого давления производственного пара;высокая
ЭВС-2 УГЭ;не машина;не знаю;Название площадки (энерговодоснабжение, управление главного энергетика);высокая
Линия 46/10;не машина;не знаю;Обозначение линии трубопровода по схеме;высокая
КЦ-101/1,2,3,5;центробежный;технологический газ;Центробежные компрессоры на Усинском ГПЗ;высокая
Тр-1060;не машина;не знаю;Регистрационный номер трубопровода;высокая
В-101;центробежный;технологический газ;Центробежный нагнетатель на установке УКГ, нефтяной газ;высокая
В-102;центробежный;технологический газ;Центробежный нагнетатель на установке УКГ, нефтяной газ;высокая
В-103;центробежный;технологический газ;Центробежный нагнетатель на установке УКГ, нефтяной газ;высокая
ТЭЦ-22;не машина;не знаю;Название предприятия (теплоэлектроцентраль);высокая
Т100/120-130;не машина;не знаю;Обозначение паровой турбины (не компрессорное оборудование);высокая
ДНС-9 БПНС;не машина;не знаю;Название объекта (дожимная насосная станция, блок подготовки нефти и стабилизации);высокая
ЦДНГ-4;не машина;не знаю;Название цеха (цех добычи нефти и газа);высокая
ЦНД 20;насос;не знаю;Центробежный насос типа Д (200Д90), перекачка жидкости на ДНС;высокая
ДНС-9;не машина;не знаю;Название объекта (дожимная насосная станция);высокая
ТА-1 ОПО;не машина;не знаю;Позиция турбоагрегата на опасном производственном объекте;высокая
ТЭЦ-2 ОАО;не машина;не знаю;Название предприятия (теплоэлектроцентраль);высокая
ПТ-60-130/13;не машина;не знаю;Обозначение паровой турбины (не компрессорное оборудование);высокая
Г-42/2 ПНГ;не машина;не знаю;Обозначение линии трубопровода (попутный нефтяной газ);высокая
АТ-201/1-4;не машина;не знаю;Позиция аппарата (вероятно абсорбер или теплообменник) по схеме ГПЗ;средняя
Г-42/1 ПНГ;не машина;не знаю;Обозначение технологической линии трубопровода, не марка компрессора;высокая
АТ-101/1-4;не машина;не знаю;Позиционное обозначение аппарата или группы аппаратов по схеме, не марка;высокая
Т 102/5;не машина;не знаю;Позиционное обозначение аппарата воздушного охлаждения по схеме, не марка компрессора;высокая
Г-42/3 ПНГ;не машина;не знаю;Обозначение технологической линии трубопровода, не марка компрессора;высокая
АТ-301/1,2,3,4;не машина;не знаю;Позиционное обозначение группы аппаратов по схеме, не марка;высокая
