marka;fakty;sreda;pochemu;uverennost
661ГПА-01-03;2;воздух;Компрессор ЦК-135/8 входит в состав установки КВК-1 воздухоразделительного производства и сжимает атмосферный воздух.;высокая
661МН-03-02;2;воздух;Шестеренчатый маслонасос относится к компрессору ЦК-135/8 установки КВК-1, сжимающей атмосферный воздух.;высокая
661ГПА-01-01;2;воздух;Компрессор ЦК-135/8 предназначен для работы в составе установки КВК и сжимает атмосферный воздух.;высокая
К-02А;2;газ;Компрессор RD7B установлен на газоперерабатывающем заводе для сжатия технологического газа.;средняя
660К-01-03;2;газ;Турбокомпрессор АТП5-5/3 применяется на гелиевом заводе в технологическом процессе переработки газа.;средняя
К-01-04;2;газ;Турбокомпрессор АТП5-5/3 эксплуатируется на гелиевом заводе в процессе переработки газа.;средняя
TAD1345VE;2;воздух;Турбокомпрессор дизельного двигателя Volvo Penta подает сжатый атмосферный воздух в цилиндры двигателя.;высокая
ТКР-100-17;2;воздух;Обозначение ТКР указывает на турбокомпрессор дизельного двигателя, сжимающий атмосферный воздух.;высокая
ТКР-100-18;2;воздух;Обозначение ТКР указывает на турбокомпрессор дизельного двигателя, сжимающий атмосферный воздух.;высокая
TPS57-E01;2;воздух;Серия TPS представляет собой наддувочный турбокомпрессор ДВС, сжимающий атмосферный воздух.;высокая
Н-360-21-1;2;воздух;В контексте прямо указано, что это нагнетатель воздуха для очистных сооружений.;высокая
КС-12;2;газ;Контекст указывает на эксплуатацию нагнетателей природного газа на данной компрессорной станции.;высокая
171ГПА-2;2;газ;Обозначение ГПА и эксплуатация на газоперерабатывающем заводе свидетельствуют о работе с газом.;высокая
471ГПА-01-01;2;газ;Обозначение ГПА и применение на гелиевом заводе указывают на сжатие газа.;высокая
654ГПА-01-01;2;газ;Обозначение ГПА и использование на гелиевом заводе подтверждают газовую среду.;высокая
RD6-4S;2;газ;В контексте прямо указано использование компрессора на установке очистки газа от сернистых соединений.;высокая
У-10;2;оба;Приведенные контексты относятся и к воздуходувке воздуха, и к компрессору установки очистки газа.;высокая
471ГПА-01-02;2;газ;Обозначение ГПА и работа на гелиевом заводе свидетельствуют о газовой среде.;высокая
4ГЦ2-130/6-65;2;газ;Обозначение серии ГЦ указывает на газовый центробежный компрессор.;высокая
S7-300;2;воздух;Турбокомпрессор Siemens STG-GO на объекте Водоканала используется для аэрации воздухом.;средняя
CPU315-DP;2;воздух;Шкаф управления контролирует турбокомпрессор Siemens STG-GO, предназначенный для аэрации воздухом.;средняя
К-380-102-1;2;газ;Компрессор К-380-102-1 эксплуатируется на газоперерабатывающем заводе для сжатия газа.;средняя
К-402А;2;не ясно;В представленном контексте нет прямых данных о рабочей среде компрессора Sundyne LMC-331P.;низкая
LМС-331F;2;не ясно;Контекст не содержит сведений о сжимаемой среде для компрессора LMC-331F.;низкая
TPS57-F32;2;воздух;Турбокомпрессор ABB TPS 57-F32 предназначен для наддува воздуха в двигатель.;высокая
TPS57F-32;2;воздух;Турбокомпрессоры серии ABB TPS57 используются для сжатия воздуха наддува ДВС.;высокая
М-902/1;2;воздух;Обозначение К-250-61-2 указывает на стандартный центробежный воздушный компрессор.;высокая
М-902;2;воздух;Марка К-250-61-2 относится к стандартным турбокомпрессорам для сжатия воздуха.;высокая
S145/1C;2;не ясно;Обозначение нагнетателя S145/1C и контекст не дают достаточной информации о рабочей среде.;низкая
К-1002А;2;газ;Компрессор К-270-61-1 работает на установке гидрокрекинга с водородсодержащим газом.;средняя
2ГЦ2-40/51-60;2;газ;Буквы ГЦ в обозначении серии указывают на центробежный газовый компрессор.;высокая
BCL-603;2;газ;Компрессор BCL-603 используется для сжатия технологического газа на газокаталитическом производстве.;средняя
Е-309;2;газ;В позицию Е-309 сбрасываются газы продувки корпусов газовых нагнетателей.;средняя
Г-43-107М/1;2;газ;На технологической установке Г-43-107М/1 компрессорное оборудование перекачивает водородсодержащий газ.;средняя
ЦК301-1;2;газ;Центробежный компрессор ЦК301-1 предназначен для сжатия технологического газа на установке Г-43-107М/1.;средняя
ЦК-301-2;2;газ;Центробежный компрессор ЦК-301-2 перекачивает технологический газ на газокаталитическом производстве.;средняя
С401;2;газ;Компрессор SRL-60 сжимает углеводородный газ на производстве полипропилена.;средняя
М-101-2;2;газ;Нагнетатель 133-21-1 является специализированной машиной для сжатия этилена.;высокая
М-101-1;2;газ;Нагнетатель 133-21-1 является специализированной машиной для сжатия этилена.;высокая
Д-5-6;2;не ясно;В контексте отсутствуют данные о рабочей среде оборудования.;низкая
ТВ100-1,12;2;воздух;Обозначение ТВ указывает на турбовоздуходувку, предназначенную для сжатия воздуха.;высокая
ТВ-80-1,4М-О1;2;воздух;Серия ТВ обозначает турбовоздуходувку, рабочей средой которой является воздух.;высокая
В-13;2;не ясно;Контекст описывает паровую турбину привода и не содержит сведений о рабочей среде компрессора.;низкая
ИП-3-5;2;не ясно;В представленном контексте нет прямой информации о сжимаемой среде.;низкая
И-3-4-5;2;не ясно;Контекст содержит лишь марку компрессора и наименование цеха без указания рабочей среды.;низкая
ИП-4-4Д/1;2;не ясно;Информация о рабочей среде турбокомпрессора в контексте отсутствует.;низкая
ЦК-201-1;2;газ;Компрессор эксплуатируется на газокаталитическом производстве в составе технологической установки.;средняя
ВД-1С;2;воздух;Марка РТКВ расшифровывается как турбовоздуходувка для подачи воздуха.;высокая
К-1001;2;газ;Машина задействована в процессе гидрокрекинга газокаталитического производства.;средняя
К201А/3;2;газ;Адсорбер расположен на компрессорной станции газоперерабатывающего завода для очистки попутного нефтяного газа.;средняя
К201А/4;2;газ;Адсорбер расположен на компрессорной станции газоперерабатывающего завода для очистки попутного нефтяного газа.;средняя
К1/1-2;2;воздух;Обозначение серии ВЦ указывает на воздушный центробежный компрессор.;высокая
1ТС-201С;2;воздух;Обозначение VK указывает на серию центробежных изотермических воздушных компрессоров.;высокая
В-12;2;воздух;В контексте прямо указано, что устройство является центробежным нагнетателем воздуха.;высокая
ВОТ-380;2;воздух;Обозначение ВОТ расшифровывается как воздухоохладитель турбокомпрессорный и применяется для охлаждения воздуха.;высокая
М-303;2;газ;Компрессор эксплуатируется на производстве мономеров нефтехимического завода для сжатия технологического газа.;средняя
ЦК-202;2;газ;Машина работает в составе газокомпрессорной станции газофракционирующей установки.;высокая
ЦК-100-61;2;газ;Турбокомпрессор типа ЦК предназначен для сжатия технологического газа на газохимическом заводе.;средняя
М-2/1;2;оба;В данной позиции приведены разные машины, работающие как на воздухе, так и на технологическом газе.;высокая
Н-700-12;3;воздух;Обозначение серии Н-700 указывает на центробежный нагнетатель воздуха.;высокая
16ГЦ-360/4-56;3;газ;Обозначение ГЦ указывает на газовый центробежный компрессор.;высокая
ТВ-80-1,6УЗ;3;воздух;Обозначение ТВ указывает на турбовоздуходувку, сжимающую воздух.;высокая
DF5-059-B01;3;газ;Центробежный компрессор эксплуатируется на объекте нефтегазодобычи Лангепаснефтегаз для сжатия газа.;средняя
DF5-059-А01;3;газ;Центробежный компрессор эксплуатируется на объекте нефтегазодобычи Лангепаснефтегаз для сжатия газа.;средняя
ТНМ-1203;3;газ;Турбокомпрессорный агрегат расположен на компрессорной станции магистрального газопровода.;высокая
НЦ-16/56;3;газ;Обозначение НЦ указывает на центробежный нагнетатель для природного газа.;высокая
К36-87-01;2;воздух;Обозначение К36-87-01 и ТКР-100 относится к турбокомпрессорам наддува ДВС, сжимающим атмосферный воздух.;высокая
К201А/1;2;газ;Технологическое устройство находится на компрессорной станции газоперерабатывающего завода СибурТюменьГаз.;средняя
К201А/2;2;газ;Технологическое устройство находится на компрессорной станции газоперерабатывающего завода СибурТюменьГаз.;средняя
HPR5000;3;воздух;Турбокомпрессор ДВС Hyundai Himsen подает атмосферный воздух в цилиндры двигателя.;высокая
ЯМЗ-536;3;воздух;Турбокомпрессор дизельного двигателя ЯМЗ-536 предназначен для подачи воздуха на впуске.;высокая
ТКР-80.05;3;воздух;Обозначение ТКР соответствует автомобильному турбокомпрессору для сжатия воздуха.;высокая
ISF2.8;3;воздух;Турбокомпрессор для двигателя Cummins ISF 2.8 сжимает атмосферный воздух.;высокая
ЛЧ35/11-1000;3;газ;Компрессор установки каталитического риформинга и гидроочистки ЛЧ 35/11-1000 перекачивает водородосодержащий газ.;средняя
ИАД-01-2А;3;воздух;Ручной нагнетатель медицинского манометра ИАД-01-2А накачивает атмосферный воздух.;высокая
BF-8007;3;воздух;Пневматический распылитель с нагнетателем серии Tornado использует сжатый воздух.;средняя
ZH1800;3;воздух;Обозначение серии Atlas Copco ZH соответствует центробежным компрессорам атмосферного воздуха.;высокая
ТКА-500;3;воздух;Турбокомпрессорный агрегат ТКА-500 в энергоцехе предназначен для снабжения предприятия сжатым воздухом.;средняя
SD72;3;воздух;Промышленный воздуходувный нагнетатель SD72 с входным фильтром сжимает воздух.;средняя
22ЦКО-42/8-38М1;3;газ;Компрессор эксплуатируется в цехе производства метанола для сжатия технологического газа.;средняя
М-1/2;3;газ;Обозначение ТГ указывает на турбогазодувку для перемещения технологического нитрозного газа.;высокая
КЦ-501/1;3;газ;Турбокомпрессор расположен на площадке переработки попутного нефтяного газа.;средняя
TPS48;3;воздух;Турбокомпрессор ABB серии TPS предназначен для наддува воздуха в двигатель внутреннего сгорания.;средняя
ZH-1500-5-8;3;воздух;Серия Atlas Copco ZH представляет собой центробежные компрессоры для подача атмосферного воздуха.;высокая
TA-6000;3;воздух;Серия Cameron TURBO-AIR TA-6000 является центробежным воздушным компрессором.;высокая
Н-7500-14-1;3;газ;Нагнетатель установлен на системе газоочистки электросталеплавильного цеха для перекачки отходящих газов.;средняя
SM4000;3;воздух;Компрессоры Samsung серии SM являются центробежными воздушными компрессорами.;высокая
К485-61-1М2;3;воздух;Компрессор К485 предназначен для подачи воздуха на регенерацию катализатора в установках крекинга.;средняя
ЦК-402/3;3;газ;Агрегат эксплуатируется на установке депарафинизации для перекачки хладагента и технологического газа.;средняя
Н-108;3;газ;Установка каталитического крекинга и фракционирования УККФ предназначена для переработки углеводородных газов.;средняя
Н-107;3;газ;Установка каталитического крекинга и фракционирования УККФ относится к процессам сжатия и переработки углеводородного газа.;средняя
ТК601;3;не ясно;В приведённом контексте отсутствуют данные о технологическом назначении и рабочей среде компрессора ТК 601.;низкая
DZ-1000;3;воздух;В контексте прямо указано место эксплуатации на участке производства сжатого воздуха.;высокая
PDN35;3;не ясно;В контексте закупки турбокомпрессора отсутствуют сведения о его рабочей среде.;низкая
Н95-81-1;3;газ;Нагнетатель эксплуатируется в производстве аммиака, который относится к газам.;высокая
2MCL-306A;3;газ;Компрессор установлен на площадке производства карбамида для сжатия углекислого газа.;средняя
272ВR6/1;3;газ;Цилиндр высокого давления входит в состав компрессора 103J агрегата синтеза аммиака.;средняя
468В5/5;3;газ;Цилиндр низкого давления входит в состав компрессора 103J для сжатия синтез-газа.;средняя
6RPA-44;3;не ясно;В контексте и обозначении марки отсутствуют данные о рабочей среде машины.;низкая
ГП12/35;3;газ;В контексте прямо указано компримирование азота низкого давления от блока разделения.;высокая
Р444;3;не ясно;В представленном контексте и маркировке отсутствуют данные о рабочей среде.;высокая
ЦНВ200/3;3;воздух;Обозначение ЦНВ расшифровывается как центробежный нагнетатель воздуха.;высокая
J-1101;3;газ;Компрессор установлен на площадке производства метанола для работы с технологическим газом.;средняя
RF2ВВ/30;3;газ;Нагнетатель RF2ВВ/30 используется на компрессорной станции магистрального газопровода.;высокая
ТК-23С;3;воздух;Турбокомпрессор ТК-23С предназначен для наддува атмосферного воздуха в дизель тепловоза.;высокая
ТКФ-248-4000;3;газ;Обозначение ТКФ расшифровывается как турбокомпрессор фреоновый для сжатия хладагента.;высокая
М-253/1;3;газ;Компрессор эксплуатируется в цехе по производству метанола для перекачки синтез-газа.;средняя
М-253/2;3;газ;Машина задействована в технологическом процессе цеха по производству метанола.;средняя
М-251;3;газ;Компрессор работает с технологическим газом в цехе по производству метанола.;средняя
ЦДНГ-10;3;газ;Центробежный нагнетатель К-340 на промысловой компрессорной станции предназначен для сжатия попутного нефтяного газа.;средняя
К525-61-5;3;воздух;Обозначение серии К указывает на центробежный воздушный турбокомпрессор.;высокая
ХТМФ-348-4000-1;3;газ;Серия ХТМФ обозначает холодильный центробежный компрессор для сжатия хладагента.;высокая
ТГ150-1,12М-В1;3;газ;Обозначение ТГ расшифровывается как турбогазодувка для перекачки газа.;высокая
21В245-04Н;3;не ясно;Маркировка указывает на электродвигатель и в контексте нет достаточных данных о рабочей среде компрессора.;низкая
ГТНР-25И;3;газ;Нагнетатель типа PCL на компрессорной станции магистрального газопровода перекачивает природный газ.;высокая
НЦ-16-76;3;газ;Обозначение НЦ указывает на центробежный нагнетатель природного газа для ГПА.;высокая
НЦ-12/56-1,44;3;газ;Серия НЦ обозначает центробежный нагнетатель природного газа.;высокая
L956FH;3;воздух;Турбокомпрессор дизельного двигателя погрузчика сжимает атмосферный воздух.;высокая
СТД-3200;3;воздух;Электродвигатель предназначен для привода воздушного центробежного компрессора серии К-500.;высокая
К79;3;воздух;Турбокомпрессор ГТТ-3М в агрегатах азотной кислоты сжимает атмосферный воздух.;высокая
МА9,5;3;воздух;Компрессор К-250-61 является стандартным центробежным воздушным компрессором.;высокая
ХП-250;3;газ;Оборудование эксплуатируется в составе аммиачно-холодильной установки и работает с хладагентом аммиаком.;высокая
ЦК-201/1;3;воздух;Нагнетатель 900-31-4 предназначен для подачи воздуха в регенератор каталитического крекинга.;высокая
ЦК-301/2;3;газ;Компрессор серии 340-81 предназначен для сжатия жирного углеводородного газа на установках крекинга.;высокая
ЦК-201/3;3;воздух;Нагнетатель 900-31-4 предназначен для подачи воздуха в регенератор каталитического крекинга.;высокая
Г-43/6К;3;воздух;Обозначение ТВ указывает на турбовоздуходувку, сжимающую воздух.;высокая
ТВ80-1,6-01.У3;3;воздух;Префикс ТВ обозначает турбовоздуходувку для подачи воздуха.;высокая
О-500-23;3;газ;Нагнетатель серии О применяется для транспортировки сернистого отходящего газа в металлургии.;высокая
К2-150;3;воздух;Компрессор К2-150 является известным поршневым компрессором высокого давления для воздуха.;высокая
К-500-61-2;3;воздух;В контексте прямо указано, что компрессор типа К-500-61-2 является воздушным.;высокая
5RMA78;3;газ;В контексте указано, что компрессор типа 5RMA 78 предназначен для сжатия углекислого газа.;высокая
К-104;3;газ;В контексте указано, что оборудование поз. К-104 является компрессором углекислого газа.;высокая
S1120;3;не ясно;Оборудование является солидолонагнетателем для консистентной смазки, а не компрессором воздуха или газа.;высокая
УН16.79СБ-01;3;воздух;Обозначение ЦНВ в марке нагнетателя расшифровывается как центробежный нагнетатель воздуха.;высокая
DP-5929;3;не ясно;Оборудование является ручным нагнетателем консистентной смазки, а не компрессорной машиной для воздуха или газа.;высокая
ЭПБ-2021;3;оба;В контекстах под данным обозначением упоминаются машины, сжимающие как воздух, так и хладагент и нитрозный газ.;высокая
Е-23;3;газ;Оборудование относится к технологической линии нитрозного нагнетателя, транспортирующего газ.;высокая
Л-108;3;газ;Оборудование задействовано в технологической схеме нитрозного нагнетателя, перекачивающего газ.;высокая
В-2/2;3;газ;Нагнетатель 1200-26-1 эксплуатируется на установке гидрокрекинга нефтеперерабатывающего завода и сжимает газ.;высокая
ВЦ5-50;3;воздух;Обозначение серии ВЦ расшифровывается как воздуходувка центробежная для сжатия воздуха.;высокая
СТД-1250-2;3;газ;Электродвигатель приводит турбокомпрессоры холодильных машин ХТМФ, работающих на хладагенте.;средняя
Л-29;3;газ;Оборудование относится к технологической линии конденсата нитрозных газов в производстве азотной кислоты.;средняя
ТК30Н-26У2;3;воздух;Турбокомпрессор тепловозного дизеля подаёт атмосферный воздух на наддув в двигатель.;высокая
ТК30С-02;3;воздух;Тепловозный турбокомпрессор предназначен для сжатия атмосферного воздуха наддува дизеля.;высокая
У250.70;3;воздух;Маслонасос обслуживает компрессор К-250-61-5, который является стандартным центробежным воздушным компрессором.;высокая
Р-901;3;газ;В контексте прямо указано, что машина является центробежным компрессором углекислого газа.;высокая
В-12/2;3;воздух;Центробежный нагнетатель 400-12-2 предназначен для подачи технологического воздуха в производстве азотной кислоты.;высокая
LB-1B;3;газ;Компрессорный агрегат эксплуатируется в составе аммиачно-холодильной установки на аммиаке.;высокая
MB-6B;3;газ;Компрессорный агрегат работает с аммиаком в составе аммиачно-холодильной установки.;высокая
НМ-250;3;воздух;Нагнетатель используется для пневмотранспорта в цехе по производству муки.;средняя
К-123;3;воздух;Компрессор установлен на паровоздуходувной станции для подачи воздуходувного дутья.;высокая
25СБ-01;3;воздух;Обозначение К-250 соответствует стандартному центробежному воздушному компрессору.;высокая
СДС-14-46-8;3;не ясно;Обозначение относится к электродвигателю сырьевой мельницы, а не к компрессору.;высокая
ЦН750/23/8;3;не ясно;В приведенном контексте отсутствуют данные о рабочей среде нагнетателя.;высокая
У07.27;3;не ясно;Обозначение является чертежным номером детали и не содержит сведений о рабочей среде.;высокая
ВКВ-22-1;3;воздух;Турбина работает в составе агрегата с компрессором К-3000, подающим воздух на ВРУ.;высокая
ЦКК-400/40;3;газ;Обозначение ЦКК указывает на центробежный кислородный компрессор.;высокая
КТК-12.5/35;3;газ;Компрессоры КТК в контексте прямо указаны как кислородный и азотный.;высокая
АИМ63;3;газ;Взрывозащищенный двигатель установлен на объекте подземного хранения газа.;средняя
32ВЦ-100/9М1;3;газ;Обозначение серии ВЦ указывает на центробежный компрессор для водородсодержащего газа на нефтеперерабатывающем производстве.;высокая
ЦК-301-1;3;газ;Установка газокаталитического производства и система азотной продувки корпуса нагнетателя подтверждают работу с газом.;высокая
КС-18А;3;газ;Нагнетатели типа Н на компрессорной станции магистрального газопровода предназначены для перекачки природного газа.;высокая
ТВ-175-1,6-01.У3;3;воздух;Обозначение ТВ расшифровывается как турбовоздуходувка и контекст прямо указывает на воздушный компрессор.;высокая
Н-370-17-1;3;газ;Обозначение серии Н указывает на центробежный нагнетатель природного газа, что прямо подтверждено контекстом.;высокая
CDP-224;3;газ;Центробежный нагнетатель CDP-224 входит в состав газоперекачивающего агрегата для транспортировки природного газа.;высокая
PCL-802/24;3;газ;Нагнетатель серии PCL эксплуатируется на компрессорной станции магистрального газопровода для перекачки природного газа.;высокая
Н-280-12-7;3;газ;Маркировка Н обозначает центробежный нагнетатель природного газа для газоперекачивающих агрегатов.;высокая
471ГПА-01-03;3;газ;Компрессор входит в состав газоперекачивающего агрегата и эксплуатируется на гелиевом заводе.;высокая
К-201В;3;оба;В представленных контекстах под этой позицией упоминаются как компрессор углеводородных фракций, так и воздуходувка печи.;высокая
АА-100/35А;3;газ;Маркировка АА в линейке оборудования Аэроком обозначает азотный компрессорный агрегат.;высокая
АТКА-545-5000;3;газ;В контексте прямо указано, что машина является аммиачным холодильным турбокомпрессором.;высокая
ЦНВ800/1,6;3;воздух;Обозначение ЦНВ расшифровывается как центробежный нагнетатель воздуха.;высокая
С3000;3;воздух;Серия Centac С3000 представляет собой центробежные компрессоры атмосферного воздуха.;высокая
М-15/1;3;газ;Нагнетатель типа Э200-31-1 на установке дегидрирования работает с углеводородным контактным газом.;высокая
Н700-13-1;3;газ;Нагнетатель Н700-13-1 предназначен для транспортировки сернистого газа в производстве серной кислоты.;высокая
КЦ135/8;3;воздух;Обозначение КЦ указывают на центробежный воздушный компрессор общепромышленного назначения.;высокая
К-525;3;воздух;Компрессор К-525 является стандартным центробежным воздушным турбокомпрессором и оснащен воздухоохладителем.;высокая
GT25;3;воздух;Модель Garrett GT25 представляет собой автомобильный турбокомпрессор для подавления атмосферного воздуха в двигатель.;высокая
ВК-11;3;воздух;Марка К-1500-62-2 относится к серии крупных центробежных воздушных компрессоров.;высокая
К-201А;3;оба;В контекстах упомянуты воздуходувка печи К-201 для воздуха и центробежный компрессор К-201А вторичных процессов для газа.;высокая
У-22;3;газ;Компрессор ЦК-135/8 установлен на гелиевом заводе для переработки технологического газа.;средняя
4VRM-200/490;3;газ;Центробежный компрессор 4VRM-200/490 прямо отнесен в контексте к газовой компрессорной установке.;высокая
ЯМЗ-530;3;воздух;Турбокомпрессор дизельного двигателя ЯМЗ-530 предназначен для подача наддувочного воздуха в цилиндры.;высокая
10КГ5340;3;воздух;Турбокомпрессор с каталожным номером 10КГ 5340 предназначен для нагнетания воздуха в двигатели ЯМЗ-530.;высокая
ГТГ-3М;3;газ;Турбокомпрессор ГТГ-3М работает в линии 1ХГО с хвостовыми газами производства.;средняя
Т-206;3;газ;Позиция Т-206 соединена трубопроводом 1ХГО транспортировки хвостовых газов от турбокомпрессора.;средняя
ТВ80-1,6-01.УЗ;3;воздух;Обозначение серии ТВ означает турбовоздуходувку, сжимающую atmospheric воздух.;высокая
38М10-711;3;газ;Центробежный компрессор 38М10-711 эксплуатируется на производстве бутилового каучука для переработки углеводородного газа.;средняя
АТКА-445;3;газ;Компрессор АТКА-445 предназначен для переработки газа или аммиака на площадке производства стирола.;средняя
3УХЛ4;4;не ясно;Обозначение 3УХЛ4 указывает только на климатическое исполнение электродвигателя и не отражает рабочую среду.;низкая
СТД-100;4;воздух;Маркировка ЦК относится к серии центробежных воздушных компрессоров.;высокая
ТКФ-348;4;газ;Эксплуатация машины на площадке хлорного производства указывает на работу с хлором.;средняя
K1500-62-2;4;воздух;В контексте агрегат прямо назван воздушным компрессором.;высокая
4М9-8;4;газ;Использование компрессора на площадке переработки попутного нефтяного газа определяет рабочую среду как газ.;средняя
553В6;4;газ;Назначение установки на объекте переработки попутного нефтяного газа свидетельствует о газовой среде.;средняя
2ВС-4;4;газ;Работа компрессора в цехе переработки газа указывает на сжатие газа.;средняя
456М1;4;газ;Обозначение ТКА-Ц относится к турбокомпрессорным агрегатам для попутного нефтяного газа.;высокая
КС-03;4;газ;Газоперекачивающий агрегат ГТК-10-4 предназначен для транспортировки природного газа.;высокая
SM5000;4;воздух;Серия Samsung SM представляет собой центробежные воздушные компрессоры.;высокая
ОМ906;4;воздух;Турбокомпрессор двигателя OM906 предназначен для сжатия атмосферного воздуха.;высокая
М-750;4;газ;В контексте прямо указано проведение работ на турбокомпрессоре циркуляционного газа.;высокая
Н400-12-2;4;газ;Буква Н в обозначении означает нагнетатель, а в контексте прямо назван полукоксовый газ.;высокая
LMC-311P;4;газ;Компрессор установлен на газокомпрессорной станции для сжатия попутного нефтяного газа.;средняя
КЦ-101/1-5;4;газ;В контексте указана работа установки с сырым и нефтяным газом.;высокая
К-302;4;газ;Оборудование предназначено для переработки и транспортировки этановой фракции газа.;высокая
A140-H56;4;воздух;Турбокомпрессор ABB серии A100 на газопоршневой двигателе сжимает наддувочный воздух.;высокая
Г-39/40;4;газ;В контексте прямо указано применение центробежного газового компрессора.;высокая
ВКМ2020;4;воздух;Турбокомпрессор поршневого двигателя сжимает и подает атмосферный воздух.;средняя
К1500;4;воздух;Обозначение серии К соответствует центробежным воздушным компрессорам.;высокая
32ВЦ-100-9М3;3;воздух;Маркировка ВЦ обозначает воздушный центробежный компрессор.;высокая
ВОТ-115;3;воздух;Обозначение ВОТ указывает на воздухоохладитель трубчатый для воздушного компрессора К-345-92-1.;высокая
Р-10/1;3;воздух;В отделении Р-10/1 эксплуатируются турбовоздуходувка ТВ-175-1,6 и воздушные компрессоры К-250-61.;высокая
К400-51-1;3;воздух;Обозначение серии К указывает на центробежный компрессор для атмосферного воздуха.;высокая
КТК7/14;3;воздух;Аббревиатура КТК обозначает кислородный турбокомпрессор воздухоразделительной установки, относящейся к воздушной среде.;высокая
RUB600;3;воздух;Редуктор предназначен для турбокомпрессора Людмила, обеспечивающего подачу воздуха в производстве соды.;средняя
М-2/2;3;оба;Позиция М-2/2 присвоена воздушному компрессору К-250-61-1 в одном контексте и газовому компрессору ЦК-135/8М1 в другом.;высокая
М-2/3;3;оба;Позиция М-2/3 используется для воздушного компрессора К-250-61-2 и газового компрессора синтез-газа ЦК-135/8М1.;высокая
И-3/4;3;газ;В отделении И-3/4 компрессоры Сильва сжимают контактный газ производства изопрена.;средняя
К-270-61-1;3;воздух;Обозначение серии К указывает на центробежный воздушный компрессор.;высокая
3М-10-8;4;газ;Машина работает в составе компрессорной установки на площадке по производству аммиака.;высокая
4М-8-6;4;газ;Компрессор входит в состав установки синтеза аммиака для сжатия технологического газа.;высокая
